datetime,speed,new_time
2012-07-18 15:00:00.000000,451.8,2012-07-08 14:58:26.890522
2012-07-18 16:00:00.000000,458.9,2012-07-08 15:58:26.890522
2012-07-18 17:00:00.000000,438.8,2012-07-08 16:58:26.890522
2012-07-18 18:00:00.000000,460.2,2012-07-08 17:58:26.890522
2012-07-18 19:00:00.000000,442.9,2012-07-08 18:58:26.890522
2012-07-18 20:00:00.000000,436.0,2012-07-08 19:58:26.890522
2012-07-18 21:00:00.000000,432.1,2012-07-08 20:58:26.890522
2012-07-18 22:00:00.000000,427.1,2012-07-08 21:58:26.890522
2012-07-18 23:00:00.000000,432.7,2012-07-08 22:58:26.890522
2012-07-19 00:00:00.000000,410.7,2012-07-08 23:58:26.890522
2012-07-19 01:00:00.000000,409.0,2012-07-09 00:58:26.890522
2012-07-19 02:00:00.000000,425.3,2012-07-09 01:58:26.890522
2012-07-19 03:00:00.000000,429.0,2012-07-09 02:58:26.890522
2012-07-19 04:00:00.000000,408.3,2012-07-09 03:58:26.890522
2012-07-19 06:00:00.000000,422.8,2012-07-09 05:58:26.890522
2012-07-19 07:00:00.000000,421.2,2012-07-09 06:58:26.890522
2012-07-19 08:00:00.000000,427.1,2012-07-09 07:58:26.890522
2012-07-19 09:00:00.000000,407.3,2012-07-09 08:58:26.890522
2012-07-19 10:00:00.000000,408.5,2012-07-09 09:58:26.890522
2012-07-19 11:00:00.000000,399.7,2012-07-09 10:58:26.890522
2012-07-19 12:00:00.000000,412.1,2012-07-09 11:58:26.890522
2012-07-19 13:00:00.000000,410.6,2012-07-09 12:58:26.890522
2012-07-19 14:00:00.000000,416.7,2012-07-09 13:58:26.890522
2012-07-19 15:00:00.000000,411.6,2012-07-09 14:58:26.890522
2012-07-19 16:00:00.000000,398.4,2012-07-09 15:58:26.890522
2012-07-19 17:00:00.000000,396.2,2012-07-09 16:58:26.890522
2012-07-19 18:00:00.000000,383.9,2012-07-09 17:58:26.890522
2012-07-19 19:00:00.000000,393.2,2012-07-09 18:58:26.890522
2012-07-19 20:00:00.000000,380.6,2012-07-09 19:58:26.890522
2012-07-19 21:00:00.000000,379.0,2012-07-09 20:58:26.890522
2012-07-19 22:00:00.000000,380.0,2012-07-09 21:58:26.890522
2012-07-19 23:00:00.000000,392.2,2012-07-09 22:58:26.890522
2012-07-20 00:00:00.000000,394.7,2012-07-09 23:58:26.890522
2012-07-20 01:00:00.000000,387.3,2012-07-10 00:58:26.890522
2012-07-20 02:00:00.000000,376.0,2012-07-10 01:58:26.890522
2012-07-20 03:00:00.000000,363.5,2012-07-10 02:58:26.890522
2012-07-20 04:00:00.000000,421.1,2012-07-10 03:58:26.890522
2012-07-20 05:00:00.000000,438.7,2012-07-10 04:58:26.890522
2012-07-20 06:00:00.000000,423.9,2012-07-10 05:58:26.890522
2012-07-20 07:00:00.000000,443.8,2012-07-10 06:58:26.890522
2012-07-20 09:00:00.000000,480.1,2012-07-10 08:58:26.890522
2012-07-20 10:00:00.000000,460.4,2012-07-10 09:58:26.890522
2012-07-20 11:00:00.000000,455.1,2012-07-10 10:58:26.890522
2012-07-20 12:00:00.000000,440.8,2012-07-10 11:58:26.890522
2012-07-20 13:00:00.000000,451.2,2012-07-10 12:58:26.890522
2012-07-20 14:00:00.000000,442.1,2012-07-10 13:58:26.890522
2012-07-20 15:00:00.000000,438.5,2012-07-10 14:58:26.890522
2012-07-20 16:00:00.000000,434.7,2012-07-10 15:58:26.890522
2012-07-20 17:00:00.000000,429.7,2012-07-10 16:58:26.890522
2012-07-20 18:00:00.000000,421.8,2012-07-10 17:58:26.890522
2012-07-20 19:00:00.000000,415.8,2012-07-10 18:58:26.890522
2012-07-20 20:00:00.000000,412.9,2012-07-10 19:58:26.890522
2012-07-20 21:00:00.000000,412.6,2012-07-10 20:58:26.890522
2012-07-20 22:00:00.000000,405.1,2012-07-10 21:58:26.890522
2012-07-20 23:00:00.000000,414.3,2012-07-10 22:58:26.890522
2012-07-21 00:00:00.000000,417.9,2012-07-10 23:58:26.890522
2012-07-21 01:00:00.000000,426.9,2012-07-11 00:58:26.890522
2012-07-21 02:00:00.000000,426.7,2012-07-11 01:58:26.890522
2012-07-21 03:00:00.000000,432.7,2012-07-11 02:58:26.890522
2012-07-21 04:00:00.000000,434.7,2012-07-11 03:58:26.890522
2012-07-21 05:00:00.000000,447.9,2012-07-11 04:58:26.890522
2012-07-21 06:00:00.000000,450.4,2012-07-11 05:58:26.890522
2012-07-21 07:00:00.000000,456.2,2012-07-11 06:58:26.890522
2012-07-21 08:00:00.000000,456.8,2012-07-11 07:58:26.890522
2012-07-21 09:00:00.000000,453.0,2012-07-11 08:58:26.890522
2012-07-21 10:00:00.000000,453.3,2012-07-11 09:58:26.890522
2012-07-21 11:00:00.000000,453.1,2012-07-11 10:58:26.890522
2012-07-21 12:00:00.000000,451.5,2012-07-11 11:58:26.890522
2012-07-21 13:00:00.000000,448.0,2012-07-11 12:58:26.890522
2012-07-21 14:00:00.000000,462.7,2012-07-11 13:58:26.890522
2012-07-21 15:00:00.000000,489.3,2012-07-11 14:58:26.890522
2012-07-21 16:00:00.000000,504.3,2012-07-11 15:58:26.890522
2012-07-21 17:00:00.000000,510.7,2012-07-11 16:58:26.890522
2012-07-21 18:00:00.000000,513.7,2012-07-11 17:58:26.890522
2012-07-21 19:00:00.000000,508.7,2012-07-11 18:58:26.890522
2012-07-21 20:00:00.000000,485.0,2012-07-11 19:58:26.890522
2012-07-21 21:00:00.000000,475.2,2012-07-11 20:58:26.890522
2012-07-21 22:00:00.000000,460.8,2012-07-11 21:58:26.890522
2012-07-21 23:00:00.000000,460.6,2012-07-11 22:58:26.890522
2012-07-22 00:00:00.000000,457.0,2012-07-11 23:58:26.890522
2012-07-22 01:00:00.000000,469.8,2012-07-12 00:58:26.890522
2012-07-22 02:00:00.000000,472.2,2012-07-12 01:58:26.890522
2012-07-22 03:00:00.000000,478.5,2012-07-12 02:58:26.890522
2012-07-22 04:00:00.000000,493.2,2012-07-12 03:58:26.890522
2012-07-22 05:00:00.000000,489.5,2012-07-12 04:58:26.890522
2012-07-22 06:00:00.000000,476.9,2012-07-12 05:58:26.890522
2012-07-22 07:00:00.000000,483.9,2012-07-12 06:58:26.890522
2012-07-22 08:00:00.000000,477.3,2012-07-12 07:58:26.890522
2012-07-22 09:00:00.000000,483.7,2012-07-12 08:58:26.890522
2012-07-22 10:00:00.000000,489.6,2012-07-12 09:58:26.890522
2012-07-22 11:00:00.000000,498.4,2012-07-12 10:58:26.890522
2012-07-22 12:00:00.000000,493.6,2012-07-12 11:58:26.890522
2012-07-22 13:00:00.000000,483.0,2012-07-12 12:58:26.890522
2012-07-22 14:00:00.000000,478.8,2012-07-12 13:58:26.890522
2012-07-22 15:00:00.000000,478.3,2012-07-12 14:58:26.890522
2012-07-22 16:00:00.000000,473.7,2012-07-12 15:58:26.890522
2012-07-22 17:00:00.000000,475.3,2012-07-12 16:58:26.890522
