datetime,kp
2012-07-10 11:53:25,1.09627
2012-07-10 12:03:24,1.09579
2012-07-10 12:13:25,1.09518
2012-07-10 12:23:24,1.09443
2012-07-10 12:33:25,1.09357
2012-07-10 12:43:25,1.09257
2012-07-10 12:53:26,1.09146
2012-07-10 13:03:25,1.09023
2012-07-10 13:13:26,1.08887
2012-07-10 13:23:26,1.08742
2012-07-10 13:33:26,1.08584
2012-07-10 13:43:26,1.08417
2012-07-10 13:53:27,1.0824
2012-07-10 14:03:27,1.08054
2012-07-10 14:13:27,1.07859
2012-07-10 14:23:28,1.07655
2012-07-10 14:33:27,1.07444
2012-07-10 14:43:28,1.07225
2012-07-10 14:53:25,1.07001
2012-07-10 15:03:28,1.06769
2012-07-10 15:13:25,1.06532
2012-07-10 15:23:28,1.06288
2012-07-10 15:33:24,1.06041
2012-07-10 15:43:28,1.05787
2012-07-10 15:53:24,1.05532
2012-07-10 16:03:28,1.0527
2012-07-10 16:13:24,1.05008
2012-07-10 16:23:28,1.0474
2012-07-10 16:33:24,1.04472
2012-07-10 16:43:28,1.04199
2012-07-10 16:53:25,1.03927
2012-07-10 17:03:28,1.0365
2012-07-10 17:13:26,1.03375
2012-07-10 17:23:29,1.03095
2012-07-10 17:33:26,1.02816
2012-07-10 17:43:29,1.02535
2012-07-10 17:53:27,1.02254
2012-07-10 18:03:30,1.01969
2012-07-10 18:13:28,1.01686
2012-07-10 18:23:30,1.01401
2012-07-10 18:33:29,1.01116
2012-07-10 18:43:31,1.00829
2012-07-10 18:53:31,1.00543
2012-07-10 19:03:32,1.00255
2012-07-10 19:13:32,0.999676
2012-07-10 19:23:33,0.99679
2012-07-10 19:33:33,0.993904
2012-07-10 19:43:33,0.991019
2012-07-10 19:53:33,0.988124
2012-07-10 20:03:33,0.986552
2012-07-10 20:13:32,0.98574
2012-07-10 20:23:33,0.984711
2012-07-10 20:33:32,0.983467
2012-07-10 20:43:33,0.98201
2012-07-10 20:53:33,0.980353
2012-07-10 21:03:33,0.978483
2012-07-10 21:13:33,0.976413
2012-07-10 21:23:33,0.974142
2012-07-10 21:33:33,0.971683
2012-07-10 21:43:33,0.969021
2012-07-10 21:53:33,0.966169
2012-07-10 22:03:33,0.963124
2012-07-10 22:13:33,0.959893
2012-07-10 22:23:32,0.956466
2012-07-10 22:33:32,0.952856
2012-07-10 22:43:32,0.949053
2012-07-10 22:53:32,0.945056
2012-07-10 23:03:32,0.940859
2012-07-10 23:13:32,0.936461
2012-07-10 23:23:32,0.931852
2012-07-10 23:33:32,0.927034
2012-07-10 23:43:31,0.921984
